Material,MaterialType,cost,density_gcc,E1_GPa,E2_GPa,G12_GPa,V12,V23,F1t_MPa,F2t_MPa,F1c_MPa,F2c_MPa,F6_MPa,F4_MPa,UltStrainT1_percent,UltStrainT2_percent,UltStrainC1_percent,UltStrainC2_percent,UltStrain6_percent,FTM1,FTM2,CTE1,CTE2,SFT_C,CME1_ppm,CME2_ppm,Vf,Vv,FiberMisalignment_deg,tk_mm,Fonte 
E-glass Epoxy,Vidro,30.00,2.08,45.00,12.00,5.50,0.19,0.31,1020.00,40.00,620.00,140.00,60.00,NaN,1.29,NaN,NaN,NaN,NaN,360.00,1400.00,3.70,30.00,126.00,0.00,0.20,0.60,NaN,2.97,0.14,Table 1.1 Barbero
S-glass Epoxy,Vidro,40.00,1.99,55.00,16.00,7.60,0.28,NaN,1620.00,40.00,690.00,140.00,60.00,NaN,1.68,NaN,NaN,NaN,NaN,NaN,NaN,3.50,32.00,126.00,0.00,0.20,0.60,NaN,2.98,0.14,Table 1.1 Barbero
Kevlar 49 Epoxy,Aramida,100.00,1.38,75.80,5.50,2.07,0.34,NaN,1380.00,34.50,586.00,138.00,44.10,150.00,1.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN2.000,60.00,126.00,0.01,0.20,0.60,NaN,1.34,0.14,Table 1.1 Barbero
E-glass Polyester,Vidro,20.00,1.85,37.90,11.30,3.30,0.30,0.45,903.00,40.00,357.00,68.00,40.00,NaN,1.64,NaN,NaN,NaN,NaN,334.00,456.00,6.50,22.00,25.00,1.00,0.20,0.50,0.02,3.53,0.14,Table 1.2 Barbero
E-glass LY556,Vidro,25.00,2.03,53.48,17.70,5.83,0.28,0.40,1140.00,35.00,570.00,138.00,61.00,NaN,2.13,0.20,1.07,0.64,3.80,165.00,NaN,8.60,26.40,120.00,0.00,NaN,0.60,NaN,NaN,0.14,Table 1.2 Barbero
E-glass MY750,Vidro,30.00,2.04,45.60,16.20,5.83,0.28,0.40,1280.00,40.00,800.00,145.00,73.00,NaN,2.81,0.25,1.75,1.20,4.00,165.00,NaN,8.60,26.40,120.00,NaN,NaN,0.60,NaN,NaN,0.14,Table 1.2 Barbero
AS4/3501-6,Carbono,200.00,1.58,126.00,11.00,6.60,0.28,0.40,1950.00,48.00,1480.00,200.00,79.00,NaN,1.38,0.44,1.18,2.00,2.00,220.00,NaN,-1.00,26.00,177.00,1.00,0.20,0.60,NaN,1.70,0.13,Table 1.3 Barbero
AS4/APC2 PEEK,Carbono,200.00,1.60,138.00,10.20,5.70,0.30,NaN,2070.00,86.00,1360.00,638.00,186.00,150.00,1.45,0.88,1.67,1.85,NaN,1700.00,2000.00,0.50,30.00,143.00,0.00,31.00,0.61,0.01,2.74,0.13,Table 1.3 Barbero
AS4/3502,Carbono,200.00,1.57,133.00,9.30,3.74,0.34,0.46,1778.80,53.50,992.73,238.50,102.00,NaN,1.24,0.55,1.62,NaN,5.10,189.00,570.00,-0.89,23.00,208.00,NaN,46.70,0.59,0.00,NaN,0.14,Table 1.3 Barbero
IM6/PEEK,Carbono,200.00,1.56,160.60,8.20,4.14,0.31,0.45,2337.30,46.90,1000.00,NaN,119.00,NaN,1.46,0.60,0.80,NaN,NaN,960.00,NaN,-0.09,28.80,271.00,0.00,NaN,0.55,0.00,1.52,0.13,Table 1.3 Barbero
IM6/3501-6,Carbono,200.00,NaN,161.00,9.65,5.20,0.30,NaN,2379.00,NaN,1752.00,NaN,NaN,NaN,0.65,NaN,0.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Table 1.3 Barbero
SE84,Carbono,200.00,NaN,124.30,8.14,4.49,0.32,NaN,2751.00,NaN,1180.00,NaN,NaN,NaN,1.20,NaN,0.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28,Table 1.3 Barbero
T700/RS-36,Carbono,200.00,NaN,135.00,10.30,4.40,0.34,NaN,2200.00,NaN,1900.00,NaN,NaN,NaN,1.63,NaN,1.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.31,Table 1.3 Barbero
T300/914-C,Carbono,200.00,1.57,138.00,11.00,5.50,0.30,0.06,1500.00,27.00,900.00,200.00,100.00,NaN,1.09,0.25,0.65,0.18,4.00,220.00,NaN,-1.00,26.00,120.00,NaN,NaN,0.65,0.00,NaN,0.13,Table 1.4 Barbero
T800/3900-2,Carbono,200.00,1.61,155.80,8.89,5.14,0.30,0.18,2414.00,70.30,917.00,NaN,267.00,NaN,1.36,0.88,0.60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0.32,0.57,NaN,1.75,0.14,Table 1.4 Barbero
IM7/8551-7,Carbono,200.00,1.56,151.00,9.00,5.60,0.32,0.40,2562.00,73.80,916.00,NaN,241.00,NaN,1.60,0.90,0.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.59,NaN,1.27,0.16,Table 1.4 Barbero
IM7/8552,Carbono,200.00,1.55,171.40,9.08,5.29,0.32,NaN,2326.20,62.30,1200.10,199.80,92.30,137.20,1.62,NaN,0.94,NaN,3.22,277.00,788.00,-5.50,25.80,176.00,NaN,NaN,0.60,NaN,1.59,0.13,Table 1.4 Barbero
IM7/977-2,Carbono,200.00,1.60,142.00,9.17,4.79,0.36,0.40,2537.00,71.72,908.00,NaN,281.00,NaN,1.60,0.88,0.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.59,NaN,NaN,NaN,Table 1.4 Barbero
IM7/MTM45,Carbono,200.00,NaN,157.90,7.70,3.60,0.30,0.36,2465.00,52.00,1252.00,193.00,48.00,NaN,NaN,NaN,NaN,NaN,NaN,255.10,508.10,-5.50,28.50,180.00,NaN,NaN,NaN,NaN,NaN,0.14,Table 1.4 Barbero
IM6/Avimid K,Carbono,200.00,NaN,134.00,9.80,5.50,0.30,0.50,2326.00,37.00,1000.00,200.00,63.00,NaN,NaN,NaN,NaN,NaN,NaN,258.00,NaN,-0.09,28.80,NaN,NaN,NaN,NaN,NaN,NaN,0.14,Table 1.4 Barbero
T300/934,Carbono,200.00,NaN,128.00,7.20,4.00,NaN,NaN,1500.00,27.00,900.00,200.00,100.00,NaN,NaN,NaN,NaN,NaN,NaN,208.00,NaN,-0.09,28.80,NaN,NaN,NaN,NaN,NaN,NaN,0.14,Table 1.4 Barbero
